abs,rel,p5no,3no,best,avg,break
77.76616991950767,0.5002491405270947,0.298,0.596,-4345.0,-4227.712,0.012339999999999941
103.3997868765862,0.6651433980770295,0.105,0.367,-4345.0,-4164.092,0.005519999999999987
134.31479170669942,0.8640114227163098,0.04,0.179,-4345.0,-4042.24,0.004300000000000001
141.6576006997484,0.9112457649968847,0.019,0.128,-4345.0,-4007.22,0.003560000000000003
160.7144814852972,1.0338336234958372,0.017,0.081,-4345.0,-3890.946,0.0035400000000000028
161.88488611825582,1.0413625260033477,0.007,0.077,-4345.0,-3917.084,0.0026600000000000018
195.497493391451,1.2575835115127896,0.002,0.02,-4345.0,-3670.634,0.002800000000000002
222.2434341596955,1.4296330530518877,0.003,0.016,-4345.0,-3468.864,0.002880000000000002
233.89195417506087,1.5045648920781713,0.0,0.005,-4283.0,-3289.38,0.002940000000000002
268.4909310488045,1.7271309315542307,0.0,0.0,-4209.0,-2987.916,0.0024800000000000017
281.57596403775636,1.8113034774474783,0.0,0.001,-4245.0,-2970.646,0.002800000000000002
298.7936400709318,1.9220602196965184,0.0,0.0,-4157.0,-2685.956,0.003120000000000002
155.45487961772056,1.0,0.03,0.097,-4345.0,-3957.32,0.0034000000000000024
