abs,rel,p5no,3no,best,avg,break
71.13012457988125,0.479239687009882,0.157,0.518,-1491.0,-1401.388,0.003749999999999996
78.16347015875161,0.5266268995834353,0.168,0.466,-1491.0,-1396.698,0.003049999999999999
82.87031282416226,0.5583392833181627,0.129,0.423,-1491.0,-1388.404,0.0035999999999999977
93.83685158688772,0.6322264111036355,0.161,0.479,-1491.0,-1397.42,0.0020500000000000006
98.12253626987484,0.6611012401332296,0.124,0.459,-1491.0,-1401.514,0.002100000000000001
99.17428135174804,0.6681873796110965,0.129,0.369,-1491.0,-1377.958,0.0027999999999999995
108.68849952853716,0.7322894877982908,0.113,0.315,-1491.0,-1368.712,0.001900000000000001
114.02971968418063,0.7682759940888401,0.13,0.372,-1491.0,-1385.264,0.0014500000000000006
114.79945011521991,0.7734620579827529,0.102,0.27,-1491.0,-1359.502,0.0021000000000000007
129.59420919094504,0.8731418455652219,0.107,0.313,-1491.0,-1365.69,0.0013500000000000003
132.10112581812933,0.8900322129990993,0.114,0.346,-1491.0,-1369.304,0.0015000000000000007
135.86322679484823,0.9153793933285471,0.082,0.223,-1491.0,-1336.702,0.0015000000000000007
148.42285918280916,1.0,0.068,0.155,-1491.0,-1312.526,0.0013000000000000006
