abs,rel,p5no,3no,best,avg,break
293.5685132974094,0.8629031220242737,0.012,0.106,-9275.0,-7884.276,0.012259999999999889
311.2162968229444,0.9147762855660501,0.012,0.06,-9275.0,-7799.828,0.011279999999999912
364.11532459053575,1.0702654955633748,0.004,0.017,-9275.0,-7258.168,0.007999999999999965
396.3568414173403,1.1650348739825873,0.002,0.02,-9275.0,-7038.912,0.005919999999999983
403.798749048538,1.1869093088688352,0.001,0.007,-9275.0,-7059.714,0.006619999999999973
466.5607764173258,1.371389411154988,0.0,0.003,-9195.0,-6655.898,0.005439999999999988
525.0923307848509,1.5434346364189897,0.0,0.001,-9115.0,-6023.528,0.005939999999999984
544.2424882992248,1.5997238158027096,0.001,0.001,-9275.0,-5713.68,0.006039999999999979
545.9626132136282,1.6047798796913009,0.0,0.0,-8715.0,-5671.3,0.006259999999999981
582.6435606657094,1.7125983365131432,0.0,0.0,-8857.0,-5556.862,0.006099999999999983
650.9847450578542,1.9134775817443064,0.0,0.0,-8575.0,-5163.868,0.005039999999999992
678.4612516961155,1.9942408866851757,0.0,0.0,-8235.0,-4989.516,0.005579999999999985
340.21028062655597,1.0,0.005,0.034,-9275.0,-7555.482,0.008319999999999954
