abs,rel,p5no,3no,best,avg,break
105.32292092628474,0.6746780376037567,0.312,0.534,-1487.0,-1406.258,0.0037999999999999983
105.79903546733321,0.6777279342587689,0.289,0.489,-1487.0,-1401.214,0.003099999999999998
111.43974372560753,0.7138612084304128,0.243,0.427,-1487.0,-1393.404,0.0035499999999999967
113.76623980748926,0.7287642874298585,0.187,0.348,-1487.0,-1383.244,0.0037499999999999955
140.92004395644622,0.9027062474094646,0.158,0.344,-1487.0,-1373.48,0.002000000000000001
143.0631526324545,0.9164345825447275,0.136,0.306,-1487.0,-1370.324,0.001900000000000001
160.19932617644264,1.0262055596218553,0.161,0.306,-1487.0,-1365.414,0.0012500000000000005
174.2146611467109,1.1159850550150567,0.098,0.2,-1487.0,-1337.598,0.0014500000000000006
175.3685747641573,1.123376800023039,0.092,0.171,-1487.0,-1322.542,0.0013000000000000006
189.95290640094686,1.2168011768057374,0.085,0.162,-1487.0,-1306.106,0.0009000000000000002
197.99994687856451,1.2683489446630012,0.042,0.103,-1487.0,-1282.666,0.0013500000000000005
199.48225020831822,1.2778442899577989,0.08,0.15,-1487.0,-1286.986,0.0007000000000000001
156.108417728193,1.0,0.13,0.27,-1487.0,-1360.006,0.0014500000000000006
