abs,rel,p5no,3no,best,avg,break
61.089965879363305,0.7062872208289789,0.0,0.01,-4680.0,-4203.906,0.04928999999999984
67.57934077160472,0.7813136591578116,0.001,0.008,-4692.0,-4209.152,0.040319999999999925
82.23232957217157,0.9507231290735013,0.0,0.004,-4634.0,-4138.864,0.023929999999999847
89.91766491531074,1.0395765776310513,0.0,0.001,-4642.0,-4069.37,0.018899999999999834
96.69356393848041,1.117915643970405,0.0,0.002,-4620.0,-4023.852,0.016539999999999788
110.59530259443649,1.2786395896899887,0.0,0.0,-4536.0,-3859.776,0.010949999999999864
118.70719731648155,1.3724246736464014,0.0,0.0,-4426.0,-3781.862,0.0099599999999999
131.99893515240504,1.5260961390170025,0.0,0.0,-4306.0,-3594.88,0.008399999999999923
135.5880341217174,1.5675912470896052,0.0,0.0,-4320.0,-3512.09,0.009069999999999906
150.14967760330873,1.7359446347085332,0.0,0.0,-4370.0,-3337.746,0.00729999999999993
151.16010172538333,1.7476265800945874,0.0,0.0,-4142.0,-3270.142,0.007969999999999929
154.7913414887349,1.7896088959087075,0.0,0.0,-4440.0,-3210.206,0.008019999999999926
86.49450829318586,1.0,0.0,0.003,-4604.0,-4056.886,0.020049999999999873
