abs,rel,p5no,3no,best,avg,break
295.6947725173335,0.8691529602596386,0.013,0.062,-9275.0,-7496.86,0.02569999999999972
310.4690642901606,0.9125799012257307,0.024,0.084,-9275.0,-7762.288,0.018079999999999843
344.53334641901097,1.012707040435384,0.01,0.052,-9275.0,-7535.086,0.014019999999999864
367.35160082528773,1.0797780718111938,0.02,0.07,-9275.0,-7641.75,0.01167999999999992
391.6226602267111,1.1511194179831084,0.002,0.009,-9275.0,-6855.496,0.013379999999999889
415.30562796235404,1.220732151884114,0.002,0.019,-9275.0,-7171.55,0.010799999999999917
498.10791685767714,1.4641177683999596,0.0,0.007,-9195.0,-6794.556,0.007019999999999972
512.0463238754411,1.5050877443574584,0.002,0.012,-9275.0,-6739.2,0.007219999999999968
561.6653096674331,1.650935734902042,0.0,0.002,-9065.0,-6406.452,0.006059999999999983
600.3867286578607,1.7647518692032023,0.0,0.001,-9195.0,-6071.192,0.006259999999999981
660.3069665335152,1.9408789332216707,0.0,0.0,-8205.0,-5491.226,0.005639999999999987
673.153312180459,1.9786389492426006,0.0,0.0,-8187.0,-5688.194,0.005619999999999983
340.21028062655597,1.0,0.022,0.09,-9275.0,-7818.666,0.01207999999999992
