abs,rel,p5no,3no,best,avg,break
82.07742079804517,0.7587157389422381,0.027,0.059,-3064.0,-2800.616,0.03123999999999956
99.03721922776127,0.9154904751949144,0.014,0.04,-3064.0,-2761.874,0.018859999999999773
109.12715774031965,1.008760890858607,0.011,0.04,-3064.0,-2729.628,0.012999999999999871
114.78188211540777,1.0610326160303347,0.01,0.041,-3064.0,-2714.054,0.014219999999999866
123.99527716681317,1.1462003487225432,0.009,0.032,-3064.0,-2717.95,0.010359999999999921
138.6730181056632,1.2818799662610072,0.001,0.01,-3056.0,-2616.27,0.010339999999999927
163.92970410956542,1.5153503287353984,0.0,0.004,-3006.0,-2544.002,0.007059999999999972
164.27453200985187,1.518537884492267,0.001,0.008,-3056.0,-2548.352,0.005659999999999987
176.25349787929107,1.629270286327339,0.001,0.005,-3064.0,-2492.472,0.005479999999999989
186.19714974355176,1.7211884423637016,0.0,0.003,-3010.0,-2438.646,0.005919999999999978
195.22722192768182,1.8046615562026682,0.0,0.002,-3014.0,-2285.096,0.0063999999999999726
201.91184051538943,1.8664535238596294,0.0,0.0,-2952.0,-2363.954,0.004679999999999997
108.17940973845253,1.0,0.012,0.038,-3064.0,-2736.73,0.014639999999999848
