abs,rel,p5no,3no,avg,break
1028.1475287047185,1.4161057843241471,0.0,0.04,-16817.72,0.0012
823.1200653093853,1.1337138427462532,0.005,0.09,-17530.95,0.002300000000000001
755.5157440178862,1.040599899704627,0.015,0.26,-18039.93,0.006100000000000003
445.28850786922396,0.6133124032122984,0.0,0.315,-18320.25,0.035199999999999954
1060.262380609012,1.4603387628361681,0.0,0.025,-16789.84,0.0007000000000000001
805.4748985849781,1.109410499144118,0.0,0.1,-17522.17,0.0026000000000000007
728.9160175324018,1.0039631083046714,0.025,0.335,-18145.65,0.005900000000000003
499.04967186497186,0.6873596514727593,0.005,0.41,-18437.87,0.02839999999999995
1073.439440810164,1.478488017345146,0.005,0.065,-16916.75,0.0009000000000000001
918.4602282445658,1.2650293907989791,0.0,0.085,-17324.24,0.0012
682.7557399032621,0.94038484319034,0.005,0.26,-18078.89,0.006700000000000004
459.5159327174821,0.6329083639680839,0.0,0.18,-18179.05,0.03729999999999995
726.0386477380388,1.0,0.01,0.195,-17969.36,0.008000000000000005
