abs,rel,p5no,3no,best,avg,break
253.89533696970605,0.8845160018410229,0.0,0.001,-14774.0,-12321.152,0.028969999999999885
259.72834998845394,0.9048369475330862,0.0,0.0,-14418.0,-12466.498,0.026509999999999884
282.14784887383325,0.9829415939360293,0.0,0.0,-14378.0,-12471.626,0.02295999999999985
327.4616248637835,1.1408049105503586,0.0,0.0,-14080.0,-12292.668,0.01612999999999979
347.9253882721896,1.2120962009248002,0.0,0.0,-14580.0,-11673.956,0.012179999999999852
366.32533537784633,1.2761976052366235,0.0,0.0,-13624.0,-11495.7,0.012879999999999848
406.9595695393374,1.4177584183156067,0.0,0.0,-14124.0,-11304.666,0.010189999999999876
423.3492953544175,1.4748566499028808,0.0,0.0,-13798.0,-11019.208,0.0091799999999999
450.74625695168834,1.5703016912488013,0.0,0.0,-13618.0,-10830.67,0.009289999999999903
483.5649262031754,1.6846347800661507,0.0,0.0,-13508.0,-10406.366,0.008599999999999918
559.5925142124377,1.9494983217844963,0.0,0.0,-13060.0,-9339.384,0.00769999999999993
563.4487690097926,1.9629326727897045,0.0,0.0,-12610.0,-9416.636,0.007739999999999933
287.0443682660922,1.0,0.0,0.0,-14468.0,-12386.928,0.022889999999999865
