abs,rel,p5no,3no,avg,break
-70.77462374444775,-2.780194914827513,0.0,0.0,-29.19,1.0
-75.55295212939774,-2.967898975610402,0.0,0.0,-3.61,1.0
-71.01413210719335,-2.7896033708098202,0.0,0.0,-45.56,1.0
-72.92616768879522,-2.864712658852567,0.0,0.0,-27.94,1.0
-73.19368957518385,-2.8752215524191134,0.0,0.0,-28.57,1.0
-69.58983032768441,-2.7336534221549367,0.0,0.0,-54.44,1.0
-67.5602620995999,-2.6539271732752496,0.0,0.0,-15.49,1.0
-71.98436593472915,-2.827716454437768,0.0,0.0,-8.7,1.0
-70.49716455522415,-2.7692956604600583,0.0,0.0,4.0,1.0
-70.26854753864478,-2.7603150423612326,0.0,0.0,12.62,1.0
-70.04883053319617,-2.7516840377874034,0.0,0.0,-23.59,1.0
-70.05843315249098,-2.7520612514258516,0.0,0.0,-8.0,1.0
25.456712896994382,1.0,0.11,0.335,-694.02,0.0009
