abs,rel,p5no,3no,avg,break
4.947749562885691,0.29604661286436806,0.015,0.016,-177.756,0.0024000000000000002
5.367203189227642,0.3211444525496464,0.033,0.034,-182.122,0.0018000000000000002
5.514820023165625,0.329977046668176,0.049,0.053,-184.822,0.0018
6.69663332836402,0.4006903723115159,0.379,0.409,-196.242,0.0011
7.19032729364112,0.43023035293386197,0.716,0.746,-204.782,0.0006
7.80598282537066,0.4670678550230825,0.848,0.872,-207.784,0.0005499999999999999
8.562636928552985,0.5123419501465241,0.868,0.908,-208.71,0.0004
9.457168232298933,0.5658658723275574,0.869,0.908,-208.854,0.0002
9.462812344117873,0.5662035854970272,0.869,0.907,-208.878,0.00015000000000000001
9.734659288156413,0.5824694384827633,0.892,0.94,-209.164,0.00015000000000000001
9.896180633452806,0.5921340034678197,0.909,0.937,-209.112,0.0002
10.92711177378521,0.6538193552247514,0.825,0.886,-208.626,0.00015000000000000001
16.7127382914949,1.0,0.548,0.658,-205.238,0.0001
