abs,rel,p5no,3no,avg,break
19.12859310726311,0.7675963377682691,0.6,0.68,-240.59,0.0007500000000000001
16.99255621343551,0.681880985476238,0.495,0.575,-239.64,0.0024999999999999996
14.93596395426382,0.599353604734193,0.59,0.67,-240.42,0.0055000000000000005
12.149040114011935,0.4875193197232288,0.62,0.665,-239.4,0.007250000000000001
19.83748579165934,0.7960429373358374,0.415,0.57,-238.85,0.0005
16.22676375958929,0.6511510996050318,0.605,0.67,-240.78,0.0024999999999999996
14.736905799141105,0.591365755862177,0.625,0.69,-240.74,0.003750000000000001
10.196218216634062,0.40915605859181936,0.39,0.4,-228.41,0.00825
19.486024965121544,0.7819394409727418,0.465,0.52,-239.11,0.0007500000000000001
15.665132689817423,0.6286138460853221,0.59,0.685,-239.73,0.004750000000000001
15.23274584411639,0.6112629328530644,0.58,0.635,-240.41,0.0034999999999999996
12.210535097791478,0.48998700378528215,0.54,0.58,-235.48,0.0065000000000000014
24.920120336788102,1.0,0.365,0.42,-236.21,0.0
