abs,rel,p5no,3no,best,avg,break
175.51269397408976,0.8464204901927957,0.0,0.001,-5407.0,-4553.938,0.03821999999999961
190.72835343129276,0.9197989202354322,0.0,0.0,-5283.0,-4508.242,0.031579999999999546
195.3888401420661,0.9422743968345899,0.0,0.001,-5349.0,-4574.518,0.02809999999999961
234.75154411626525,1.132103396884433,0.0,0.006,-5431.0,-4472.524,0.017339999999999797
269.5370036119655,1.2998583609913525,0.0,0.0,-5279.0,-4208.552,0.01335999999999989
285.13283452100677,1.375070190655043,0.0,0.0,-5171.0,-4100.964,0.011299999999999904
301.7257735029791,1.4550906337856895,0.0,0.0,-5271.0,-4018.206,0.009739999999999922
322.8073489716571,1.5567577955060212,0.0,0.0,-5271.0,-3940.048,0.007919999999999962
331.31536649506023,1.5977882201418077,0.0,0.0,-5283.0,-3924.594,0.007579999999999966
377.8207083094016,1.8220630194386,0.0,0.0,-4951.0,-3710.158,0.005819999999999987
381.37925676375437,1.8392243327254485,0.0,0.0,-5075.0,-3662.866,0.005999999999999982
399.5025322706755,1.9266249155045598,0.0,0.0,-4801.0,-3593.284,0.006459999999999978
207.35874899969858,1.0,0.001,0.002,-5467.0,-4458.726,0.026279999999999644
