abs,rel,p5no,3no,best,avg,break
174.71262847231353,0.6693965466682897,0.09,0.147,-7366.0,-6891.172,0.01217999999999992
175.15476345550334,0.6710905491768457,0.131,0.217,-7366.0,-6910.4,0.016339999999999886
220.38250045475044,0.844376769100641,0.062,0.131,-7366.0,-6779.242,0.00601999999999998
240.6302705139672,0.9219543745312704,0.024,0.054,-7366.0,-6700.82,0.004340000000000001
257.6311059234386,0.9870916265609917,0.03,0.071,-7366.0,-6558.916,0.003140000000000002
324.93338042485715,1.244954555692701,0.003,0.011,-7348.0,-6340.786,0.0016800000000000012
330.3722985463149,1.2657933069607146,0.012,0.03,-7366.0,-6418.37,0.001600000000000001
370.7743866013994,1.4205904642054041,0.003,0.007,-7350.0,-5937.06,0.0011400000000000006
380.95706505769635,1.459604528924595,0.0,0.0,-7128.0,-5991.66,0.0013000000000000008
446.40509113705696,1.7103630632495637,0.0,0.002,-7206.0,-5561.396,0.0008000000000000004
459.92278995046416,1.7621549742506093,0.004,0.008,-7366.0,-5747.19,0.0010400000000000006
513.7557325125017,1.9684113059371928,0.001,0.003,-7350.0,-5558.678,0.0007000000000000003
261.0001938938743,1.0,0.073,0.169,-7366.0,-6774.846,0.002880000000000002
