abs,rel,p5no,3no,avg,break
1.0857968276485193,0.08215667346662783,0.12,0.185,-190.85,0.13939999999999986
1.015058476166605,0.07680426545043087,0.09,0.125,-189.1,0.1583999999999998
0.9063277975132756,0.06857717301982184,0.13,0.205,-189.53,0.1639999999999998
1.0704832816208865,0.08099797603026393,0.255,0.305,-193.02,0.14459999999999987
1.0503858006008309,0.07947730278493655,0.175,0.265,-192.2,0.14379999999999987
1.0663226508201689,0.0806831624505908,0.19,0.225,-191.75,0.14539999999999986
1.0475490484294423,0.07926266030678965,0.085,0.165,-189.76,0.1439999999999999
0.9007951492324269,0.06815854591883852,0.125,0.155,-189.47,0.1645999999999998
1.026572648286753,0.0776754837622049,0.09,0.12,-187.39,0.1575999999999997
1.086553175320224,0.08221390241324952,0.12,0.16,-189.96,0.14379999999999987
0.8872394559310162,0.06713285617668883,0.125,0.155,-188.33,0.16419999999999974
0.8993270637046406,0.06804746342139871,0.12,0.17,-188.18,0.16259999999999988
13.216173219203812,1.0,0.43,0.705,-203.73,0.0002
