abs,rel,p5no,3no,best,avg,break
414.7111700651625,1.999969483157739,0.0,0.0,-4881.0,-3432.968,0.001520000000000001
414.7111700651625,1.999969483157739,0.0,0.003,-5365.0,-3459.182,0.0017800000000000014
414.7111700651625,1.999969483157739,0.0,0.0,-5145.0,-3456.668,0.0020200000000000014
414.7111700651625,1.999969483157739,0.0,0.0,-5247.0,-3457.312,0.0017600000000000011
414.7111700651625,1.999969483157739,0.0,0.0,-5275.0,-3459.788,0.0018400000000000011
414.7111700651625,1.999969483157739,0.0,0.0,-5241.0,-3487.87,0.0019600000000000012
414.7111700651625,1.999969483157739,0.0,0.0,-5233.0,-3422.532,0.0021200000000000012
309.41434440125306,1.492169227938884,0.001,0.004,-5467.0,-3953.378,0.0035200000000000027
401.5743785941123,1.9366165186244255,0.0,0.001,-5361.0,-3374.68,0.0030000000000000022
224.65799326288754,1.083426642698419,0.006,0.047,-5473.0,-4638.618,0.0068599999999999686
207.35874899969858,1.0,0.002,0.03,-5467.0,-4658.462,0.009599999999999932
