abs,rel,p5no,3no,best,avg,break
310.9050152815954,1.9999694834034327,0.0,0.001,-4231.0,-3006.426,0.0012800000000000008
310.9050152815954,1.9999694834034327,0.0,0.004,-4283.0,-2935.534,0.0010800000000000004
310.9050152815954,1.9999694834034327,0.0,0.001,-4297.0,-2921.194,0.0011600000000000007
310.9050152815954,1.9999694834034327,0.0,0.003,-4247.0,-3011.28,0.0013600000000000007
310.9050152815954,1.9999694834034327,0.0,0.001,-4283.0,-2936.156,0.0013400000000000007
307.9922276203014,1.9812322931109383,0.0,0.0,-4155.0,-2845.636,0.0012000000000000005
132.74108465039683,0.8538881827114126,0.052,0.269,-4345.0,-4094.448,0.008619999999999945
118.23407379007611,0.7605684304077542,0.053,0.313,-4345.0,-4129.738,0.011499999999999906
111.78229655984845,0.719065859075846,0.053,0.356,-4345.0,-4138.088,0.011739999999999917
107.0383427140928,0.6885492625082662,0.056,0.406,-4345.0,-4156.99,0.012119999999999917
155.45487961772056,1.0,0.05,0.17,-4345.0,-4013.478,0.004779999999999994
