abs,rel,p5no,3no,best,avg,break
177.46044576896549,1.136776916655125,0.117,0.204,-1487.0,-1313.438,0.0010500000000000004
141.57876417934295,0.906925880357405,0.171,0.268,-1487.0,-1338.812,0.0022
126.31523419883973,0.8091506917889115,0.184,0.409,-1487.0,-1399.746,0.0025000000000000005
123.9904518547431,0.794258590658629,0.191,0.426,-1487.0,-1396.064,0.002749999999999999
121.42747459834149,0.7778406594945061,0.211,0.369,-1487.0,-1379.35,0.003349999999999997
120.45563935613717,0.7716152729564373,0.14,0.316,-1487.0,-1376.206,0.003549999999999997
118.67394141209593,0.7602020643033112,0.218,0.367,-1487.0,-1375.284,0.004149999999999997
116.76838211365606,0.7479954240325878,0.134,0.441,-1487.0,-1403.202,0.0037999999999999965
114.02437672390266,0.7304178620427462,0.171,0.346,-1487.0,-1367.944,0.004649999999999994
110.95642625341449,0.7107651712068817,0.206,0.46,-1487.0,-1407.69,0.0043499999999999945
156.108417728193,1.0,0.116,0.232,-1487.0,-1335.928,0.002150000000000001
