abs,rel,p5no,3no,avg,break
20.61312710909482,0.8097324738076677,0.09,0.455,-704.19,0.0025000000000000005
20.281981208632782,0.7967242782169033,0.095,0.415,-702.0,0.0033000000000000013
37.72580523827305,1.4819590176832,0.0,0.05,-649.32,0.0004
12.898698901892518,0.5066914551805877,0.0,0.05,-672.15,0.04779999999999998
19.787514153471847,0.7773004406946866,0.05,0.445,-703.26,0.0037000000000000015
41.89612477641786,1.645779050340959,0.005,0.04,-637.82,0.0007000000000000001
47.216586146853054,1.8547793793293639,0.0,0.01,-602.6,0.0006000000000000001
36.044948062941785,1.415930965195335,0.03,0.135,-660.63,0.0007000000000000001
20.528033260195816,0.8063897858006449,0.13,0.42,-700.9,0.002900000000000001
36.23468383929301,1.4233842360523759,0.025,0.125,-658.44,0.0005
25.456712896994382,1.0,0.06,0.255,-692.31,0.0013999999999999998
