abs,rel,p5no,3no,avg,break
12.580028498183953,0.50481411518759,0.435,0.535,-235.22,0.004750000000000001
27.538460523378813,1.105069323550794,0.265,0.4,-234.95,0.0
9.532797834771738,0.3825341814541333,0.195,0.195,-211.95,0.008750000000000003
27.521439039996622,1.1043862817696088,0.115,0.17,-230.41,0.00025
30.48494057472389,1.223306314846352,0.215,0.32,-231.1,0.00025
22.02870533415522,0.8839726709359241,0.28,0.315,-234.85,0.0005
23.70748645818316,0.951339164409459,0.205,0.345,-234.44,0.00025
28.37383591034683,1.1385914484714672,0.295,0.425,-234.85,0.00025
21.867753488016795,0.8775139603051885,0.335,0.415,-236.52,0.00025
13.734896202335971,0.5511568971864055,0.545,0.585,-239.14,0.006000000000000002
24.920120336788102,1.0,0.285,0.36,-235.76,0.00025
