abs,rel,p5no,3no,best,avg,break
93.1754029508942,0.5968634126644333,0.332,0.633,-1487.0,-1430.366,0.0033499999999999984
118.57423011611303,0.7595633332378505,0.154,0.398,-1487.0,-1396.99,0.0019500000000000006
119.80486120447148,0.7674465153638853,0.146,0.372,-1487.0,-1388.664,0.003249999999999998
124.1111027403754,0.7950314566410539,0.196,0.436,-1487.0,-1398.814,0.0022000000000000006
126.27618132870924,0.8089005267388852,0.164,0.403,-1487.0,-1390.442,0.0020500000000000006
150.62555790514665,0.9648778720402331,0.082,0.289,-1487.0,-1360.694,0.001800000000000001
176.51673954002558,1.1307317190759463,0.039,0.186,-1487.0,-1319.55,0.0011500000000000004
184.92475087385054,1.1845917956572394,0.035,0.148,-1487.0,-1303.518,0.0015000000000000007
187.9584444267291,1.204025043377171,0.071,0.17,-1487.0,-1305.236,0.0011000000000000003
209.0116690864154,1.3388878839982512,0.034,0.076,-1487.0,-1232.18,0.0010000000000000002
212.2371116618879,1.3595494384641253,0.024,0.068,-1487.0,-1230.708,0.0015000000000000007
226.97343958444958,1.4539474737335605,0.024,0.088,-1487.0,-1221.972,0.0013500000000000005
156.108417728193,1.0,0.073,0.218,-1487.0,-1337.918,0.001850000000000001
