abs,rel,p5no,3no,best,avg,break
265.3131440011798,0.779850460463922,0.052,0.144,-9275.0,-8149.552,0.01643999999999983
265.4461522999088,0.7802414195451234,0.041,0.185,-9275.0,-8286.446,0.015439999999999867
344.6357273654405,1.0130079747464842,0.024,0.085,-9275.0,-7858.642,0.007519999999999958
446.2725432146956,1.3117550192569363,0.004,0.013,-9275.0,-6896.774,0.004100000000000001
451.2197354088212,1.326296590972566,0.001,0.008,-9275.0,-6807.658,0.00424
456.11852883795405,1.3406959013641004,0.002,0.009,-9275.0,-6770.906,0.004060000000000003
518.2109793439895,1.5232078771682458,0.001,0.004,-9275.0,-6383.47,0.0036200000000000026
531.6201178820188,1.5626221432901692,0.0,0.001,-9225.0,-6509.292,0.0032400000000000024
571.8696550783535,1.6809299649180407,0.0,0.004,-9145.0,-6129.25,0.0028400000000000022
603.1975006962592,1.773013736049854,0.0,0.0,-8903.0,-5770.464,0.0033600000000000027
617.805542743709,1.815952009462834,0.0,0.001,-9031.0,-5869.02,0.0035000000000000027
628.7891541954862,1.8482367817852605,0.0,0.0,-8601.0,-5687.53,0.0031000000000000025
340.21028062655597,1.0,0.025,0.101,-9275.0,-7978.46,0.0067799999999999735
