abs,rel,p5no,3no,best,avg,break
166.2268709777333,0.8016390520275319,0.012,0.15,-5473.0,-4808.472,0.014939999999999835
169.04496696093418,0.8152294888757258,0.034,0.151,-5473.0,-4866.258,0.015139999999999853
189.3527369773098,0.9131649274060052,0.009,0.1,-5473.0,-4764.398,0.01029999999999991
268.1532445375162,1.2931850998865062,0.0,0.0,-5177.0,-3213.414,0.04147999999999961
278.3974545031437,1.3425884166746607,0.0,0.0,-4839.0,-3149.646,0.04027999999999961
279.32468727529454,1.3470600523139757,0.0,0.003,-5367.0,-3958.51,0.006779999999999974
296.8861560346687,1.4317512883678725,0.0,0.001,-5431.0,-3892.748,0.004939999999999992
297.7361479822394,1.4358504254993947,0.0,0.002,-5425.0,-3880.886,0.004599999999999997
349.9942296385868,1.6878681576107286,0.0,0.0,-5199.0,-3394.35,0.005639999999999984
373.3465794494671,1.8004862647488762,0.0,0.0,-4959.0,-3231.868,0.005459999999999985
398.4078023504652,1.9213455148258265,0.0,0.0,-4883.0,-3248.452,0.0033200000000000026
407.10462911752666,1.9632864833599013,0.0,0.0,-4917.0,-3294.226,0.0034000000000000024
207.35874899969858,1.0,0.002,0.032,-5473.0,-4557.178,0.008539999999999949
