abs,rel,p5no,3no,best,avg,break
71.68755990635546,0.48299541122610684,0.376,0.685,-1491.0,-1434.74,0.004549999999999996
77.38339201654726,0.5213711179167884,0.309,0.665,-1491.0,-1434.552,0.0036499999999999983
87.48142684978454,0.5894066947062083,0.392,0.756,-1491.0,-1444.344,0.002599999999999999
102.17817570822668,0.6884261377984645,0.397,0.698,-1491.0,-1439.864,0.001800000000000001
104.08458471528061,0.7012705811513975,0.205,0.455,-1491.0,-1394.034,0.002050000000000001
108.71061096971187,0.7324384637801338,0.303,0.594,-1491.0,-1419.948,0.0022
120.47894895811741,0.811727719176506,0.237,0.516,-1491.0,-1407.864,0.0013000000000000006
122.8331565034889,0.8275892081569323,0.188,0.413,-1491.0,-1382.65,0.0022
128.85715982705648,0.8681759705783996,0.192,0.508,-1491.0,-1396.808,0.001900000000000001
130.75588497644836,0.880968643889276,0.158,0.426,-1491.0,-1381.888,0.0014000000000000006
136.0226284800289,0.916453363241661,0.108,0.373,-1491.0,-1364.978,0.0016500000000000009
150.24801302546223,1.0122969861428492,0.12,0.366,-1491.0,-1363.644,0.0008500000000000002
148.42285918280916,1.0,0.148,0.323,-1491.0,-1361.33,0.0012000000000000003
