node,scale,point5no,3no,avgsol,chainbreak
0,0.6964132180495735,322,487,-200.092,0.22999999999999998
1,0.36972963764972655,327,535,-201.044,0.20500000000000007
2,0.37723664692350434,286,472,-200.216,0.20500000000000007
3,0.10010587426148963,264,428,-199.212,0.0
4,0.2574846067639487,322,498,-200.246,0.10000000000000002
5,0.5696012024771592,325,472,-199.644,0.2000000000000001
6,0.10010587426148963,285,473,-199.89,0.0
7,0.10010587426148963,325,481,-199.714,0.005
8,0.10010587426148963,291,441,-199.066,0.01
9,0.10010587426148963,293,446,-199.456,0.005
10,0.10010587426148963,329,496,-200.048,0.03
11,0.10010587426148963,308,473,-199.638,0.0
12,0.10010587426148963,327,455,-200.118,0.02
13,0.4998370298991989,375,483,-200.318,0.1600000000000001
14,0.3024044356690215,268,487,-199.82,0.11500000000000003
15,0.10010587426148963,285,470,-199.758,0.05499999999999999
16,0.4520436502664754,314,475,-199.458,0.11500000000000003
17,0.38878391807422696,332,500,-200.054,0.13000000000000006
18,0.10010587426148963,279,433,-198.962,0.02
19,0.10010587426148963,328,502,-200.246,0.0
