node,scale,point5no,3no,avgsol,chainbreak
0,1.5,512,638,-204.228,0.06999999999999999
0,1.48,475,629,-204.096,0.06999999999999999
0,1.46,498,630,-204.252,0.06
0,1.44,506,637,-204.264,0.095
0,1.42,497,634,-204.22,0.15000000000000002
0,1.4,529,676,-204.818,0.13500000000000004
0,1.38,506,661,-204.622,0.13000000000000003
0,1.3599999999999999,510,670,-204.63,0.33500000000000013
0,1.3399999999999999,517,666,-204.676,0.35500000000000015
0,1.3199999999999998,532,691,-205.018,0.39000000000000024
0,1.2999999999999998,541,688,-204.914,0.425
0,1.2799999999999998,542,695,-205.084,0.45
0,1.2599999999999998,573,732,-205.638,0.6499999999999992
0,1.2399999999999998,559,713,-205.138,0.8749999999999988
0,1.2199999999999998,547,719,-205.34,0.9399999999999984
0,1.1999999999999997,548,698,-204.996,1.054999999999998
0,1.1799999999999997,559,754,-205.692,1.0849999999999977
0,1.1599999999999997,532,747,-205.58,1.379999999999997
0,1.1399999999999997,563,768,-205.806,1.4899999999999969
0,1.1199999999999997,535,758,-205.538,1.7549999999999986
0,1.0999999999999996,502,765,-205.344,2.0900000000000034
0,1.0799999999999996,497,753,-205.282,2.4750000000000076
0,1.0599999999999996,484,777,-205.394,2.7800000000000136
0,1.0399999999999996,505,787,-205.588,2.8450000000000126
0,1.0199999999999996,454,780,-205.268,3.3950000000000187
0,0.9999999999999996,424,762,-204.816,3.6250000000000204
0,0.9799999999999995,413,774,-204.54,4.460000000000021
0,0.9599999999999995,345,748,-203.986,5.0300000000000304
0,0.9399999999999995,333,761,-203.86,5.790000000000031
0,0.9199999999999995,292,756,-203.45,6.320000000000035
0,0.8999999999999995,262,771,-203.248,6.9800000000000155
0,0.8799999999999994,201,726,-202.076,7.879999999999981
0,0.8599999999999994,182,717,-201.53,8.554999999999971
0,0.8399999999999994,138,709,-200.802,9.519999999999948
0,0.8199999999999994,101,682,-199.944,10.199999999999918
0,0.7999999999999994,57,681,-199.662,10.93999999999992
0,0.7799999999999994,57,646,-198.476,11.519999999999916
0,0.7599999999999993,33,640,-198.104,12.109999999999937
0,0.7399999999999993,19,588,-196.64,12.849999999999929
0,0.7199999999999993,5,598,-196.632,13.15999999999992
0,0.6999999999999993,4,510,-194.506,14.074999999999935
0,0.6799999999999993,1,538,-195.114,13.789999999999912
0,0.6599999999999993,0,487,-193.718,14.489999999999904
0,0.6399999999999992,0,419,-192.132,15.174999999999901
0,0.6199999999999992,0,396,-191.426,15.414999999999887
0,0.5999999999999992,0,355,-190.462,15.7549999999999
0,0.5799999999999992,0,299,-188.842,16.60999999999986
0,0.5599999999999992,0,295,-188.61,16.60999999999989
0,0.5399999999999991,0,215,-186.442,17.574999999999854
0,0.5199999999999991,0,213,-186.342,17.67499999999986
0,0.4999999999999991,0,178,-185.408,18.15499999999983
0,0.4799999999999991,0,128,-183.756,19.094999999999864
0,0.4599999999999991,0,96,-182.726,20.889999999999837
0,0.43999999999999906,0,73,-181.846,23.329999999999977
0,0.41999999999999904,0,53,-180.974,24.540000000000028
0,0.399999999999999,0,35,-180.048,24.92000000000004
0,0.379999999999999,0,45,-180.032,24.990000000000066
0,0.359999999999999,0,22,-178.908,25.385000000000083
0,0.33999999999999897,0,22,-178.552,25.580000000000084
0,0.31999999999999895,0,10,-177.406,26.050000000000118
0,0.29999999999999893,0,10,-176.91,26.245000000000136
0,0.2799999999999989,0,6,-175.772,26.560000000000155
0,0.2599999999999989,0,4,-175.754,26.610000000000163
0,0.2399999999999989,0,0,-175.26,26.760000000000172
0,0.21999999999999892,0,2,-174.482,26.990000000000215
0,0.19999999999999893,0,0,-174.254,27.115000000000215
0,0.17999999999999894,0,0,-173.694,27.220000000000226
0,0.15999999999999895,0,0,-173.888,27.170000000000222
0,0.13999999999999896,0,0,-173.206,27.325000000000237
0,0.11999999999999895,0,0,-171.934,27.77500000000027
0,0.09999999999999895,0,0,-171.782,28.19000000000034
