node,scale,point5no,3no,avgsol,chainbreak
0,1.5,437,575,-203.322,0.01
0,1.48,462,618,-203.94,0.0
0,1.46,477,625,-204.062,0.025
0,1.44,493,651,-204.446,0.005
0,1.42,502,652,-204.468,0.005
0,1.4,459,636,-204.09,0.015000000000000003
0,1.38,506,660,-204.564,0.06999999999999999
0,1.3599999999999999,510,653,-204.53,0.049999999999999996
0,1.3399999999999999,518,678,-204.89,0.10999999999999999
0,1.3199999999999998,543,686,-205.01,0.10500000000000001
0,1.2999999999999998,528,698,-205.096,0.14500000000000005
0,1.2799999999999998,534,696,-205.092,0.18000000000000008
0,1.2599999999999998,553,713,-205.29,0.18500000000000008
0,1.2399999999999998,568,721,-205.522,0.3500000000000002
0,1.2199999999999998,537,699,-205.15,0.43500000000000016
0,1.1999999999999997,593,766,-206.002,0.47999999999999987
0,1.1799999999999997,561,732,-205.58,0.7149999999999991
0,1.1599999999999997,566,743,-205.648,0.7699999999999989
0,1.1399999999999997,594,766,-206.006,0.8199999999999987
0,1.1199999999999997,561,748,-205.658,0.8899999999999985
0,1.0999999999999996,569,760,-205.738,1.1299999999999981
0,1.0799999999999996,548,734,-205.374,1.2549999999999981
0,1.0599999999999996,540,751,-205.486,1.529999999999997
0,1.0399999999999996,555,758,-205.55,1.6199999999999974
0,1.0199999999999996,494,733,-205.086,2.1900000000000053
0,0.9999999999999996,510,773,-205.432,2.4300000000000077
0,0.9799999999999995,523,785,-205.636,2.4650000000000083
0,0.9599999999999995,467,744,-204.794,3.085000000000017
0,0.9399999999999995,434,745,-204.366,3.80000000000002
0,0.9199999999999995,412,745,-204.136,4.340000000000019
0,0.8999999999999995,360,738,-203.588,5.120000000000027
0,0.8799999999999994,352,729,-203.186,5.64500000000003
0,0.8599999999999994,287,732,-202.744,6.620000000000019
0,0.8399999999999994,252,710,-201.806,7.474999999999992
0,0.8199999999999994,209,686,-201.114,8.19999999999997
0,0.7999999999999994,185,687,-200.582,8.994999999999957
0,0.7799999999999994,137,658,-199.586,9.814999999999937
0,0.7599999999999993,105,646,-198.772,10.744999999999939
0,0.7399999999999993,86,642,-198.624,11.104999999999933
0,0.7199999999999993,39,575,-196.634,12.439999999999928
0,0.6999999999999993,25,550,-195.746,13.039999999999935
0,0.6799999999999993,14,509,-194.522,13.759999999999943
0,0.6599999999999993,10,538,-195.026,13.679999999999925
0,0.6399999999999992,5,451,-192.962,14.799999999999903
0,0.6199999999999992,1,423,-192.16,15.089999999999907
0,0.5999999999999992,0,368,-190.75,15.74499999999989
0,0.5799999999999992,0,340,-189.956,16.129999999999868
0,0.5599999999999992,0,279,-188.262,16.739999999999878
0,0.5399999999999991,0,238,-187.326,17.13499999999986
0,0.5199999999999991,0,198,-186.19,17.594999999999843
0,0.4999999999999991,0,194,-185.744,17.714999999999844
0,0.4799999999999991,0,159,-184.798,18.174999999999837
0,0.4599999999999991,0,120,-183.286,18.794999999999852
0,0.43999999999999906,0,103,-182.726,19.059999999999828
0,0.41999999999999904,0,75,-181.71,19.30999999999984
0,0.399999999999999,0,63,-180.764,19.844999999999803
0,0.379999999999999,0,36,-179.984,20.164999999999797
0,0.359999999999999,0,27,-179.182,20.45499999999982
0,0.33999999999999897,0,17,-178.492,21.979999999999823
0,0.31999999999999895,0,15,-177.872,25.535000000000075
0,0.29999999999999893,0,5,-176.974,26.18000000000011
0,0.2799999999999989,0,2,-176.524,26.32500000000014
0,0.2599999999999989,0,3,-175.59,26.685000000000155
0,0.2399999999999989,0,1,-175.02,26.82500000000018
0,0.21999999999999892,0,2,-174.984,26.91000000000019
0,0.19999999999999893,0,0,-174.11,27.07000000000021
0,0.17999999999999894,0,0,-173.688,27.235000000000234
0,0.15999999999999895,0,0,-173.442,27.30000000000023
0,0.13999999999999896,0,0,-173.276,27.295000000000236
0,0.11999999999999895,0,0,-172.77,27.470000000000237
0,0.09999999999999895,0,0,-172.254,27.845000000000294
