node,scale,point5no,3no,avgsol,chainbreak
0,0.682554595010387,308,488,-200.212,0.3299999999999996
1,0.34461218334751764,343,527,-200.09,0.38499999999999945
2,0.36972963764972655,283,438,-199.486,0.3099999999999997
3,0.10010587426148963,311,508,-200.376,0.0
4,0.23759255478829303,309,476,-199.94,0.40999999999999936
5,0.5526834771623851,304,488,-199.576,0.37999999999999945
6,0.10010587426148963,293,476,-199.754,0.0
7,0.10010587426148963,303,503,-199.706,0.005
8,0.10010587426148963,265,424,-198.342,0.025
9,0.10010587426148963,278,483,-199.898,0.01
10,0.10010587426148963,294,484,-199.648,0.025
11,0.10010587426148963,307,478,-199.918,0.0
12,0.10010587426148963,372,496,-200.756,0.025
13,0.4213342221547681,312,410,-198.648,0.46499999999999914
14,0.2904884943099637,252,470,-199.842,0.3099999999999997
15,0.10010587426148963,287,503,-200.29,0.025
16,0.38104711810454983,300,460,-198.504,0.35999999999999954
17,0.20434346174623952,295,456,-198.152,0.3249999999999996
18,0.10010587426148963,342,508,-200.402,0.025
19,0.10010587426148963,307,478,-200.042,0.0
