node,scale,point5no,3no,avgsol,chainbreak
0,0.34777685189501567,15,15,-230.58,0.45
1,0.30573350131789695,11,14,-231.38,0.44999999999999996
2,0.27312973676603164,35,42,-233.92,0.15000000000000002
3,0.6084536036821793,24,33,-230.7,0.25
4,0.10026326180029003,38,47,-236.92,0.0
5,0.4952666177317715,42,52,-237.56,0.2
6,0.10331133571046922,30,34,-234.64,0.30000000000000004
7,0.24633713803043839,24,35,-233.0,0.15000000000000002
8,0.7108673567862629,38,47,-235.82,0.44999999999999996
9,0.1062227320522761,38,46,-236.96,0.3
10,0.10026326180029003,33,42,-236.54,0.15000000000000002
11,0.31199572865464154,55,60,-238.3,0.4
12,0.2718186679942617,30,33,-235.54,0.2
13,0.10026326180029003,31,35,-234.58,0.2
14,0.6456770575769111,30,37,-235.06,0.25
15,0.45051512202871113,40,44,-235.08,0.2
16,0.10026326180029003,24,29,-232.82,0.05
17,0.3626570001070982,42,57,-238.22,0.15000000000000002
18,0.2761507417771383,43,49,-236.96,0.44999999999999996
19,0.3734597441050548,30,45,-236.68,0.1
