node,scale,point5no,3no,avgsol,chainbreak
0,0.6964132180495735,331,513,-200.354,0.1900000000000001
1,0.35516081470507305,313,513,-200.272,0.24499999999999994
2,0.36972963764972655,278,446,-199.51,0.3449999999999996
3,0.10010587426148963,299,468,-199.6,0.0
4,0.24486529903492946,315,488,-200.422,0.29499999999999976
5,0.5582661385478638,307,496,-200.03,0.37499999999999944
6,0.10010587426148963,298,461,-199.462,0.0
7,0.10010587426148963,318,491,-200.206,0.005
8,0.10010587426148963,290,450,-198.994,0.015000000000000003
9,0.10010587426148963,315,463,-199.446,0.025
10,0.10010587426148963,319,490,-199.844,0.025
11,0.10010587426148963,274,451,-199.1,0.0
12,0.10010587426148963,373,506,-200.658,0.025
13,0.45660974774391455,330,459,-199.414,0.3099999999999997
14,0.29342272152521587,257,495,-199.638,0.24499999999999994
15,0.10010587426148963,273,448,-199.306,0.034999999999999996
16,0.4213342221547681,300,454,-198.538,0.3399999999999996
17,0.26804671691687404,283,449,-198.598,0.23499999999999996
18,0.10010587426148963,301,491,-200.036,0.045
19,0.10010587426148963,276,460,-199.2,0.0
