node,scale,point5no,3no,avgsol,chainbreak
0,0.7105532272722921,301,451,-199.678,0.06
1,0.39667780642202527,322,537,-201.098,0.07
2,0.38878391807422696,317,482,-200.47,0.08000000000000002
3,0.10010587426148963,280,474,-199.5,0.0
4,0.2600854613777259,342,490,-200.176,0.12000000000000004
5,0.5811664141181095,314,483,-199.772,0.09000000000000002
6,0.10010587426148963,305,471,-199.828,0.0
7,0.10010587426148963,305,476,-200.082,0.0
8,0.10010587426148963,271,449,-199.126,0.01
9,0.10010587426148963,328,488,-199.968,0.015000000000000003
10,0.10010587426148963,315,498,-200.298,0.03
11,0.10010587426148963,313,472,-199.92,0.0
12,0.10010587426148963,331,469,-200.07,0.049999999999999996
13,0.5696012024771592,358,482,-200.422,0.045
14,0.3116610814491425,283,501,-199.942,0.07
15,0.10010587426148963,283,511,-200.42,0.05499999999999999
16,0.45660974774391455,275,456,-198.896,0.10000000000000002
17,0.4801414565714212,285,457,-199.14,0.10000000000000002
18,0.10010587426148963,309,482,-199.808,0.06
19,0.10010587426148963,304,484,-200.038,0.0
